,date_time,city,state,country,shape,duration_seconds,latitude_deg,longitude_deg,date,time,year,zip_code
297,10/10/13 20:00,Hudson,NH,US,light,5,42.7647222,-71.4402778,10/10/13,20:00,13,03051
298,10/10/13 20:30,Grand Blanc,MI,US,light,1200,42.9275,-83.63,10/10/13,20:30,13,48439
299,10/10/13 20:30,Savage,MN,US,circle,60,44.7791667,-93.3361111,10/10/13,20:30,13,55378
300,10/10/13 20:32,Warren,MI,US,sphere,45,42.4775,-83.0277778,10/10/13,20:32,13,48015
301,10/10/13 20:35,Canton,MI,US,triangle,180,42.3086111,-83.4822222,10/10/13,20:35,13,48187
303,10/10/13 21:17,Lost Creek,WV,US,triangle,45,39.1611111,-80.3522222,10/10/13,21:17,13,26385
304,10/10/13 21:30,Hudson,NH,US,light,1,42.7647222,-71.4402778,10/10/13,21:30,13,03051
453,10/11/10 0:30,Redondo Beach,CA,US,other,1200,33.8491667,-118.3875,10/11/10,0:30,10,90277
455,10/11/10 4:50,Albany,NY,US,oval,120,42.6525,-73.7566667,10/11/10,4:50,10,12210
456,10/11/10 6:20,West Palm Beach,FL,US,sphere,2400,26.7052778,-80.0366667,10/11/10,6:20,10,33480
457,10/11/10 12:30,Orangevale,CA,US,changing,2700,38.6786111,-121.2247222,10/11/10,12:30,10,95662
458,10/11/10 19:40,Cottage Grove,MN,US,light,240,44.8277778,-92.9436111,10/11/10,19:40,10,55016
459,10/11/10 20:50,Glendora,CA,US,circle,60,34.1361111,-117.8644444,10/11/10,20:50,10,91741
460,10/11/10 20:53,Ramona,CA,US,triangle,5,33.0416667,-116.8672222,10/11/10,20:53,10,92065
461,10/11/10 21:35,Union City,CA,US,other,15,37.5958333,-122.0180556,10/11/10,21:35,10,94587
463,10/11/11 3:15,Omaha,IL,US,chevron,120,37.8902778,-88.3030556,10/11/11,3:15,11,62871
464,10/11/11 8:40,Henderson,NV,US,other,180,36.0397222,-114.9811111,10/11/11,8:40,11,89015
