latitude_deg,longitude_deg,city,zip_code,county,state,country
30.627909999999996,-86.7389,Eglin Air Force Base,32542.0,Okaloosa County,Florida,United States
30.47683,-86.534355,Eglin Air Force Base,32542.0,Okaloosa County,Florida,United States
30.426906,-86.691114,Hurlburt Field,32544.0,Okaloosa County,Florida,United States
35.003732,-106.507282,Albuquerque,87123.0,Bernalillo County,New Mexico,United States
39.820568,-84.035554,Wright-Patterson Air Force Base,45433.0,Greene County,Ohio,United States
35.364917,-86.07944300000001,Manchester,37355.0,Coffee County,Tennessee,United States
35.403696999999994,-97.360303,Oklahoma City,73150.0,Oklahoma County,Oklahoma,United States
41.752596999999994,-70.53817,Bourne,2561.0,Barnstable County,Massachusetts,United States
43.147439,-75.611722,Verona,13478.0,Oneida County,New York,United States
43.126742,-75.591475,Verona,13478.0,Oneida County,New York,United States
43.148198,-75.045162,Newport,13416.0,Herkimer County,New York,United States
43.222583,-75.409981,Rome,13441.0,Oneida County,New York,United States
42.460089,-71.27788199999999,Hanscom Air Force Base,1731.0,Middlesex County,Massachusetts,United States
40.499607,-113.60878899999999,,,Tooele County,Utah,United States
40.988127,-113.243495,,,Box Elder County,Utah,United States
41.125209000000005,-111.992173,Hill Air Force Base,84056.0,Davis County,Utah,United States
41.252179999999996,-112.246358,Ogden,84404.0,Weber County,Utah,United States
61.26515799999999,-149.804971,Anchorage,99506.0,Anchorage,Alaska,United States
35.42003,-80.1432,New London,28127.0,Stanly County,North Carolina,United States
44.8118612,-73.3698057,Beekmantown,12901.0,Clinton County,New York,United States
38.999199,-76.456001,Annapolis,21409.0,Anne Arundel County,Maryland,United States
46.77890014648438,-68.50029754638672,Portage Lake,4768.0,Aroostook County,Maine,United States
47.89960098266602,-92.55740356445312,Cook,55723.0,St. Louis County,Minnesota,United States
44.65710067749024,-71.21910095214844,Dummer,3588.0,Coos County,New Hampshire,United States
60.72722244262695,-151.13278198242188,Kenai,99611.0,Kenai Peninsula Borough,Alaska,United States
44.320899963378906,-69.88950347900389,East Winthrop,4364.0,Kennebec County,Maine,United States
41.701389,-85.113056,Angola,46703.0,Steuben County,Indiana,United States
47.15890121459999,-67.9319992065,Van Buren,4785.0,Aroostook County,Maine,United States
44.9070014954,-68.80500030520001,Bangor,4401.0,Penobscot County,Maine,United States
38.43339920043945,-86.69110107421875,French Lick,47521.0,Dubois County,Indiana,United States
39.05870056152344,-86.44609832763672,Bloomington,47401.0,Monroe County,Indiana,United States
43.17559814453125,-72.06390380859375,Washington,3280.0,Sullivan County,New Hampshire,United States
41.89599990844727,-73.09310150146484,Winsted,6098.0,Litchfield County,Connecticut,United States
41.223056,-85.830556,Winona Lake,46580.0,Kosciusko County,Indiana,United States
47.66939926147461,-93.0543975830078,Chisholm/Hibbing,55781.0,St. Louis County,Minnesota,United States
48.60580062866211,-93.37079620361328,International Falls,56649.0,Koochiching County,Minnesota,United States
44.81660079956055,-93.0155029296875,Inver Grove Hgts,55076.0,Dakota County,Minnesota,United States
28.5727778,-81.62861109999999,Oakland,34760.0,Orange County,Florida,United States
27.90749931335449,-80.48639678955078,Sebastian,32951.0,Brevard County,Florida,United States
28.787799835205078,-81.16419982910156,Geneva,32732.0,Seminole County,Florida,United States
28.458599090576172,-81.34970092773438,Belle Isle,32809.0,Orange County,Florida,United States
30.19389915466309,-81.68190002441406,Jacksonville,32212.0,Duval County,Florida,United States
47.8263,-90.3835,Grand Marais,55604.0,Cook County,Minnesota,United States
44.79690170288086,-92.98410034179688,St Paul Park,55071.0,Washington County,Minnesota,United States
46.13330078125,-93.00299835205078,Sandstone,55072.0,Pine County,Minnesota,United States
46.67779922485352,-94.2925033569336,Jenkins,56474.0,Crow Wing County,Minnesota,United States
46.47719955444336,-94.3031005859375,Nisswa,56468.0,Crow Wing County,Minnesota,United States
37.05830001831055,-121.1259994506836,Los Banos,95322.0,Merced County,California,United States
40.69940185546875,-79.618896484375,Freeport,16229.0,Armstrong County,Pennsylvania,United States
35.2223014831543,-86.22000122070312,Tullahoma,37330.0,Franklin County,Tennessee,United States
47.627601623535156,-122.33200073242188,Seattle,98109.0,King County,Washington,United States
48.72819900512695,-122.33599853515624,Bellingham,98229.0,Whatcom County,Washington,United States
59.058998107910156,-158.57699584960938,Dillingham,99576.0,Dillingham,Alaska,United States
42.26259994506836,-72.30699920654297,Ware,1082.0,Hampshire County,Massachusetts,United States
46.4375,-93.9561004638672,Ironton,56455.0,Crow Wing County,Minnesota,United States
29.2588005065918,-89.35299682617188,Venice,70091.0,Plaquemines Parish,Louisiana,United States
43.35419845581055,-89.57119750976562,Lodi,53555.0,Columbia County,Wisconsin,United States
28.59280014038086,-81.40390014648438,Orlando,32804.0,Orange County,Florida,United States
31.73080062866211,-81.35970306396484,Riceboro,31323.0,Liberty County,Georgia,United States
39.51029968261719,-85.0,Brookville,47012.0,Franklin County,Indiana,United States
46.48049926757813,-94.28109741210938,Lake Hubert,56468.0,Crow Wing County,Minnesota,United States
62.28290176391602,-146.5189971923828,Lake Louise,99588.0,Matanuska-Susitna,Alaska,United States
55.60129928590001,-131.636993408,Loring,99901.0,Ketchikan Gateway,Alaska,United States
55.803,-133.597,Port Alice,99921.0,Prince of Wales-Hyder Census Area,Alaska,United States
48.83190155029297,-94.70439910888672,Baudette,56623.0,Lake of the Woods County,Minnesota,United States
43.60419845581055,-71.51249694824219,Meredith,3253.0,Belknap County,New Hampshire,United States
39.93730163574219,-74.13569641113281,Island Heights,8732.0,Ocean County,New Jersey,United States
46.12160110473633,-89.12100219726562,Phelps,54554.0,Vilas County,Wisconsin,United States
62.958000183100005,-155.593002319,Mcgrath,99627.0,Yukon-Koyukuk,Alaska,United States
46.7169,-93.210197,Mc Gregor,55760.0,Aitkin County,Minnesota,United States
56.328800201415994,-133.61000061035,Port Protection,99927.0,Prince of Wales-Hyder Census Area,Alaska,United States
38.133399963378906,-92.7334976196289,Osage Beach,65065.0,Camden County,Missouri,United States
39.56919860839844,-75.8478012084961,Elkton,21921.0,Cecil County,Maryland,United States
28.103599548339844,-81.80590057373047,Auburndale,33823.0,Polk County,Florida,United States
30.302099227905273,-85.8644027709961,West Bay,32413.0,Bay County,Florida,United States
41.4035987854,-85.706100463867,Syracuse,46567.0,Kosciusko County,Indiana,United States
29.10580062866211,-90.19090270996094,Leeville,70357.0,Lafourche Parish,Louisiana,United States
46.0609016418457,-69.40940093994139,Chesuncook,4441.0,Piscataquis County,Maine,United States
46.06859970092773,-83.72419738769531,Drummond Island,49726.0,Chippewa County,Michigan,United States
36.66669845581055,-93.154296875,Rockaway Beach,65616.0,Taney County,Missouri,United States
43.90420150756836,-124.11499786376952,Florence,97439.0,Lane County,Oregon,United States
43.51499938964844,-88.95259857177734,Randolph,53916.0,Dodge County,Wisconsin,United States
60.893818,-146.704038,Ellamar,99677.0,Valdez-Cordova,Alaska,United States
48.48320007324219,-122.68499755859376,Anacortes,98221.0,Skagit County,Washington,United States
39.70000076293945,-74.15280151367188,Harvey Cedars,8008.0,Ocean County,New Jersey,United States
45.4625015258789,-69.61949920654297,Greenville Junction,4442.0,Piscataquis County,Maine,United States
44.929100036621094,-93.61750030517578,Orono/Lake Minnetonka,55391.0,Hennepin County,Minnesota,United States
37.87990188598633,-122.51399993896484,Sausalito,94941.0,Marin County,California,United States
44.99470138549805,-93.42610168457031,Plymouth,55441.0,Hennepin County,Minnesota,United States
39.25559997558594,-76.20690155029297,Chestertown,21620.0,Kent County,Maryland,United States
29.03440093994141,-81.95059967041016,Oklawaha,32179.0,Marion County,Florida,United States
46.43059921264648,-93.83309936523438,Deerwood,56444.0,Crow Wing County,Minnesota,United States
41.82059860229492,-71.11470031738281,Berkley,2779.0,Bristol County,Massachusetts,United States
44.963600158691406,-93.62249755859376,Spring Park,55356.0,Hennepin County,Minnesota,United States
61.628898620600005,-149.617996216,Wasilla,99623.0,Matanuska-Susitna,Alaska,United States
26.63500022888184,-81.875,Fort Myers,33901.0,Lee County,Florida,United States
30.207801,-93.265298,Lake Charles,70601.0,Calcasieu Parish,Louisiana,United States
44.448,-69.530333,China,4962.0,Kennebec County,Maine,United States
44.756389,-73.266667,Grand Isle,5458.0,Grand Isle County,Vermont,United States
66.89929962158203,-151.4720001220703,Bettles,99726.0,Yukon-Koyukuk,Alaska,United States
61.62770080566406,-149.23899841308594,Palmer,99654.0,Matanuska-Susitna,Alaska,United States
37.3205986023,-77.3458023071,Chester,23836.0,Chesterfield County,Virginia,United States
29.824899673461914,-92.13289642333984,Intracoastal City,70510.0,Vermilion Parish,Louisiana,United States
37.650001525878906,-93.7584991455078,Stockton,65785.0,Cedar County,Missouri,United States
41.59360122680664,-71.06529998779297,Westport,2790.0,Bristol County,Massachusetts,United States
41.95840072631836,-71.32640075683594,North Attleborough,2760.0,Bristol County,Massachusetts,United States
40.85010147094727,-74.03289794921875,Little Ferry,7643.0,Bergen County,New Jersey,United States
43.59339904785156,-73.6250991821289,Bolten Landing,12814.0,Warren County,New York,United States
45.43099975585938,-122.6500015258789,Lake Oswego,97034.0,Clackamas County,Oregon,United States
60.70439910888672,-151.31100463867188,Kenai,99611.0,Kenai Peninsula Borough,Alaska,United States
32.139198303222656,-80.86810302734375,Hilton Head,29915.0,Beaufort County,South Carolina,United States
32.233898162841804,-80.75420379638672,Hilton Head,29926.0,Beaufort County,South Carolina,United States
60.419038,-152.354894,Kenai,99682.0,Kenai Peninsula Borough,Alaska,United States
44.87279891967773,-73.28170013427734,Alburg,5440.0,Grand Isle County,Vermont,United States
47.37950134277344,-122.44499969482422,Dockton,98070.0,King County,Washington,United States
61.74399948120117,-150.0590057373047,Willow,99688.0,Matanuska-Susitna,Alaska,United States
59.5625,-139.74099731445312,Yakutat,99689.0,Yakutat,Alaska,United States
57.412201,-133.43848,Entrance Island,99820.0,Hoonah-Angoon,Alaska,United States
64.83290100097656,-147.84800720214844,Fairbanks,99709.0,Fairbanks North Star,Alaska,United States
57.5321998596,-135.212997437,False Island,99835.0,Sitka,Alaska,United States
29.271099090576172,-89.35579681396484,Venice,70091.0,Plaquemines Parish,Louisiana,United States
42.7675,-78.74416670000001,Orchard Park,14127.0,Erie County,New York,United States
40.273611100000004,-76.88472220000001,Harrisburg,17102.0,Dauphin County,Pennsylvania,United States
41.59305560000001,-81.5269444,Euclid,44123.0,Cuyahoga County,Ohio,United States
34.3769444,-82.6958333,Starr,29684.0,Anderson County,South Carolina,United States
42.525,-71.7602778,Leominster,1453.0,Worcester County,Massachusetts,United States
41.02638889999999,-73.6288889,Greenwich,6830.0,Fairfield County,Connecticut,United States
32.8544444,-79.975,North Charleston,29405.0,Charleston County,South Carolina,United States
38.7891667,-77.1875,Springfield,22150.0,Fairfax County,Virginia,United States
41.1669444,-73.20527779999999,Bridgeport,6605.0,Fairfield County,Connecticut,United States
45.4077778,-122.56916670000001,Clackamas,97015.0,Clackamas County,Oregon,United States
31.463611100000005,-100.4366667,San Angelo,76903.0,Tom Green County,Texas,United States
41.8525,-72.6441667,Windsor,6095.0,Hartford County,Connecticut,United States
41.788611100000004,-89.6961111,Sterling,61081.0,Whiteside County,Illinois,United States
47.9791667,-122.20083329999999,Everett,98201.0,Snohomish County,Washington,United States
